valy_s	cris_cersei	0.3856951871657754
Acidelius	ladyonorato	0.385625
AlessiaMorani	SimonaMalpezzi	0.38555030384875083
GavinoSanna1967	braveheartmmt	0.38522208385222084
AlessiaMorani	maumartina	0.38496312157982393
lauraboldrini	meb	0.38486562942008484
MaurizioBlondet	vocidallestero	0.384765625
ksnt63	enzocasamento	0.3845150065245759
micheleboldrin	Phastidio	0.3845029239766082
AlessiaMorani	meb	0.3844924060751399
sabrimaggioni	PaoloZenga	0.3844834976425204
lameduck1960	pbecchi	0.3844275637547477
markorusso69	BarbaraRaval	0.38429438543247346
sarettaa7	andreasso1951	0.3839064161644807
GiuseppePalma78	DiegoFusaro	0.38366277685163136
sabrimaggioni	BarbaraRaval	0.38361719383617193
lauraboldrini	RobertoBurioni	0.383547379382159
soemiade	mariobianchi18	0.383248730964467
Yi_Benevolence	durezzadelviver	0.3827717957624175
lucabattanta	cris_cersei	0.38275229357798163
markorusso69	PatriziaRametta	0.3826247689463956
markorusso69	GiuseppePalma78	0.38262139466958744
davidefaraone	AnnaAscani	0.38215174129353235
catirafaella	ederoclite	0.38209920920201296
emanuelefiano	Deputatipd	0.38206074368435994
TgLa7	HuffPostItalia	0.3820446604891387
nzingaretti	eziomauro	0.38201828017160977
IlariaBifarini	Acidelius	0.3819583214387668
vanabeau	ottogattotto	0.3815294609277058
valy_s	lucabattanta	0.38150480609877363
Yi_Benevolence	byoblu	0.38142537869381676
BarbaraRaval	ladyonorato	0.381392483056069
ManuelaBellipan	mariobianchi18	0.3813852813852814
emanuelefiano	AndreaRomano9	0.3813823163138232
AlessiaMorani	AndreaRomano9	0.3813587134886774
emanuelefiano	maumartina	0.3810502283105023
vittoriozucconi	emmabonino	0.38098747236551217
lucabattanta	PatriziaRametta	0.3809020436927414
lauraboldrini	nzingaretti	0.38073394495412843
maumartina	Deputatipd	0.3806788511749347
RobertoBurioni	jacopo_iacoboni	0.380413321047782
andreasso1951	PaoloZenga	0.38033333333333336
cris_cersei	GiuseppePalma78	0.3799860041987404
claudiocerasa	eziomauro	0.37990962808481055
FedeAngeli	claudiocerasa	0.37982005141388175
siceid	Filippo_Casini	0.37966417910447764
emanuelefiano	ivanscalfarotto	0.3796270526022822
LaStampa	ilfoglio_it	0.37953125
AnnaAscani	AndreaRomano9	0.37939859245041585
lucabattanta	fdragoni	0.37920384351407
cris_cersei	LucianoBarraCar	0.3791695030633084
laura_ceruti	frido1962	0.37904015670910873
lucabattanta	GiuseppePalma78	0.37899860917941586
ale_moretti	Deputatipd	0.37899860917941586
ElioLannutti	gparagone	0.37894471093158294
ivanscalfarotto	MatteoRichetti	0.37883531621790856
emanuelefiano	AndreaMarcucci	0.3787830519273654
emanuelefiano	meb	0.37853978038913505
PatriziaRametta	fdragoni	0.3785310734463277
mariannamadia	SenatoriPD	0.3784219001610306
TeresaBellanova	AndreaRomano9	0.3782742681047766
markorusso69	francescatotolo	0.3782031491200988
EugenioCardi	ConteZero76	0.3781620236951649
byoblu	scenarieconomic	0.3781094527363184
scenarieconomic	MaurizioBlondet	0.3779836123975775
AlessiaMorani	graziano_delrio	0.3776389487289961
gparagone	byoblu	0.37759080648471166
SoniaGrotto	PaoloZenga	0.3775315246465418
GiuseppePalma78	BarbaraRaval	0.3773649810801514
davidefaraone	AndreaRomano9	0.3772430668841762
ivanscalfarotto	AnnaAscani	0.3770304930179538
vittoriozucconi	HuffPostItalia	0.37687921202695696
ivanscalfarotto	AndreaRomano9	0.37673738112655447
valy_s	Acidelius	0.3766147731036767
C_Randieri	LelloEsposito5	0.3764089121887287
danielecina	EugenioCardi	0.3761904761904762
Yi_Benevolence	LaVeritaWeb	0.3761111111111111
Acidelius	durezzadelviver	0.37604245640636846
scenarieconomic	pbecchi	0.37598693166349034
AnnaAscani	jacopo_iacoboni	0.3759026201774293
MPenikas	LelloEsposito5	0.37557603686635943
GavinoSanna1967	pbecchi	0.3754737412019491
mariannamadia	MatteoRichetti	0.37535898908673176
byoblu	durezzadelviver	0.375237063126524
Phastidio	OGiannino	0.37523037228160705
nzingaretti	ignaziomarino	0.3751417555001134
petra_romano	PaoloZenga	0.374948325754444
jacopo_iacoboni	Phastidio	0.3749248948527939
antonio_bordin	DiegoFusaro	0.37482868889904064
mariolavia	MatteoRichetti	0.3747346072186836
ConteZero76	mariobianchi18	0.37466717383035375
soemiade	andr900	0.3746418338108882
FmMosca	SoniaGrotto	0.3746397694524496
catirafaella	EugenioCardi	0.3743796526054591
DiegoFusaro	Yi_Benevolence	0.37436723423838014
Deputatipd	AnnaAscani	0.3742757821552723
davidefaraone	MatteoRichetti	0.3742730071843996
mariolavia	AndreaMarcucci	0.37423312883435583
MatteoRichetti	marattin	0.3741126360624704
andreasso1951	oinot49	0.37410805300713557
markorusso69	durezzadelviver	0.37366124553748514
ksnt63	comeDonQuixote	0.37363834422657954
AnnaLeonardi1	AnnaAscani	0.3735581188997338
GavinoSanna1967	maxdantoni	0.3735470941883767
nzingaretti	meb	0.37350442170972775
AlbertoBagnai	durezzadelviver	0.3733509234828496
vittoriozucconi	LaStampa	0.3732385584237436
cris_cersei	BarbaraRaval	0.373015873015873
comeDonQuixote	SarahConnor_18	0.373015873015873
laura_ceruti	ConteZero76	0.3729796933278077
nzingaretti	CarloCalenda	0.3727220956719818
fattoquotidiano	HuffPostItalia	0.37264038231780167
fdragoni	LaVeritaWeb	0.37262680646075375
siceid	frido1962	0.37249283667621774
ManuelaBellipan	comeDonQuixote	0.372463768115942
AnnaLeonardi1	AlessiaMorani	0.3723179208220006
AlessiaMorani	davidefaraone	0.3723135271807838
ElioLannutti	oinot49	0.3720588235294118
La7tv	LaStampa	0.3720413026211279
gparagone	marcotravaglio	0.37198726693951795
micheleboldrin	carloalberto	0.3719841555635578
francescatotolo	CriticaScient	0.37175427485750473
ale_moretti	MatteoRichetti	0.3716726914229379
RaiNews	eziomauro	0.3712720632988436
Deputatipd	AndreaRomano9	0.371130175307721
danielecina	AlessiaMorani	0.3708433093907954
comeDonQuixote	andr900	0.370563035495716
DiegoFusaro	LucianoBarraCar	0.37054191755442334
vittoriozucconi	OGiannino	0.37040010705205406
lauraboldrini	graziano_delrio	0.3701346751516945
mariannamadia	AnnaAscani	0.36965082698871093
francescatotolo	durezzadelviver	0.3695917123705058
soemiade	TeresaBellanova	0.3690065209052551
catirafaella	marattin	0.36892023346303504
GiuseppePalma78	CriticaScient	0.36891385767790263
eziomauro	Corriere	0.3688752783964365
ivanscalfarotto	davidefaraone	0.36880927291886195
ivanscalfarotto	TeresaBellanova	0.3687374749498998
mariolavia	ivanscalfarotto	0.3685932388222465
cris_cersei	braveheartmmt	0.36857624262847516
myrtamerlino	Ariachetira	0.36855036855036855
civati	NichiVendola	0.3680837427900021
comeDonQuixote	mariobianchi18	0.36796082546344877
EugenioCardi	mariobianchi18	0.36795353604373077
vittoriozucconi	DavidPuente	0.36789392015799127
vittoriozucconi	bravimabasta	0.3678868040602891
catirafaella	mariobianchi18	0.36782449725776967
ManuelaBellipan	frido1962	0.3677478300593878
IlariaBifarini	scenarieconomic	0.3676265026558569
Tg3web	La7tv	0.3673929376408715
sole24ore	ilfoglio_it	0.36730455422044206
comeDonQuixote	LaSkilly	0.36717302704705446
sole24ore	OGiannino	0.36714399363564043
SenatoriPD	MatteoRichetti	0.36704119850187267
ignaziomarino	NichiVendola	0.36691052335396734
claudiocerasa	AnnaAscani	0.3667604501607717
GiuseppePalma78	vocidallestero	0.36674090571640683
byoblu	CriticaScient	0.3666203059805285
civati	eziomauro	0.3666086956521739
lauraboldrini	eziomauro	0.3665684830633284
ivanscalfarotto	graziano_delrio	0.3665594855305466
SarahConnor_18	mariobianchi18	0.36646464646464644
braveheartmmt	vocidallestero	0.3664226898444648
C_Randieri	MPenikas	0.36630265210608426
MaurizioBlondet	icebergfinanza	0.36607142857142855
